suicides/100k pop,country-year,HDI for year,gdp_for_year,gdp_per_capita,generation
3.49,Albania1992,0.615,"709,452,584",251,Boomers
3.41,Albania1992,0.615,"709,452,584",251,Generation X
3.13,Albania1992,0.615,"709,452,584",251,Silent
2.85,Albania1992,0.615,"709,452,584",251,Boomers
2.39,Albania1992,0.615,"709,452,584",251,Generation X
1.5,Albania1992,0.615,"709,452,584",251,Boomers
0.62,Albania1992,0.615,"709,452,584",251,Boomers
0.61,Albania1992,0.615,"709,452,584",251,Silent
0.0,Albania1992,0.615,"709,452,584",251,Millenials
0.0,Albania1992,0.615,"709,452,584",251,G.I. Generation
0.0,Albania1992,0.615,"709,452,584",251,Millenials
0.0,Albania1992,0.615,"709,452,584",251,G.I. Generation
7.4,Albania1993,0.618,"1,228,071,038",437,Generation X
4.24,Albania1993,0.618,"1,228,071,038",437,Silent
4.13,Albania1993,0.618,"1,228,071,038",437,G.I. Generation
3.91,Albania1993,0.618,"1,228,071,038",437,Boomers
3.51,Albania1993,0.618,"1,228,071,038",437,Generation X
2.85,Albania1993,0.618,"1,228,071,038",437,Boomers
2.67,Albania1993,0.618,"1,228,071,038",437,Boomers
2.11,Albania1993,0.618,"1,228,071,038",437,Boomers
1.18,Albania1993,0.618,"1,228,071,038",437,Silent
0.29,Albania1993,0.618,"1,228,071,038",437,Millenials
0.27,Albania1993,0.618,"1,228,071,038",437,Millenials
0.0,Albania1993,0.618,"1,228,071,038",437,G.I. Generation
8.13,Albania1994,0.624,"1,985,673,798",697,G.I. Generation
6.42,Albania1994,0.624,"1,985,673,798",697,Silent
5.01,Albania1994,0.624,"1,985,673,798",697,G.I. Generation
2.59,Albania1994,0.624,"1,985,673,798",697,Boomers
2.48,Albania1994,0.624,"1,985,673,798",697,Boomers
2.48,Albania1994,0.624,"1,985,673,798",697,Generation X
2.12,Albania1994,0.624,"1,985,673,798",697,Generation X
1.53,Albania1994,0.624,"1,985,673,798",697,Boomers
0.58,Albania1994,0.624,"1,985,673,798",697,Boomers
0.57,Albania1994,0.624,"1,985,673,798",697,Silent
0.27,Albania1994,0.624,"1,985,673,798",697,Millenials
0.0,Albania1994,0.624,"1,985,673,798",697,Millenials
5.58,Albania1995,0.619,"2,424,499,009",835,Generation X
5.06,Albania1995,0.619,"2,424,499,009",835,Silent
4.9,Albania1995,0.619,"2,424,499,009",835,G.I. Generation
4.59,Albania1995,0.619,"2,424,499,009",835,Generation X
4.56,Albania1995,0.619,"2,424,499,009",835,Generation X
3.98,Albania1995,0.619,"2,424,499,009",835,G.I. Generation
3.72,Albania1995,0.619,"2,424,499,009",835,Boomers
2.65,Albania1995,0.619,"2,424,499,009",835,Generation X
2.24,Albania1995,0.619,"2,424,499,009",835,Boomers
1.59,Albania1995,0.619,"2,424,499,009",835,Millenials
1.11,Albania1995,0.619,"2,424,499,009",835,Silent
0.57,Albania1995,0.619,"2,424,499,009",835,Millenials
7.87,Albania1996,0.6459999999999999,"3,314,898,292",1127,G.I. Generation
6.98,Albania1996,0.6459999999999999,"3,314,898,292",1127,Generation X
5.95,Albania1996,0.6459999999999999,"3,314,898,292",1127,Generation X
5.56,Albania1996,0.6459999999999999,"3,314,898,292",1127,Generation X
4.85,Albania1996,0.6459999999999999,"3,314,898,292",1127,G.I. Generation
3.73,Albania1996,0.6459999999999999,"3,314,898,292",1127,Generation X
3.16,Albania1996,0.6459999999999999,"3,314,898,292",1127,Boomers
2.49,Albania1996,0.6459999999999999,"3,314,898,292",1127,Boomers
1.67,Albania1996,0.6459999999999999,"3,314,898,292",1127,Silent
0.55,Albania1996,0.6459999999999999,"3,314,898,292",1127,Silent
0.53,Albania1996,0.6459999999999999,"3,314,898,292",1127,Millenials
0.28,Albania1996,0.6459999999999999,"3,314,898,292",1127,Millenials
15.25,Albania1997,0.645,"2,359,903,108",793,Generation X
13.5,Albania1997,0.645,"2,359,903,108",793,Generation X
11.81,Albania1997,0.645,"2,359,903,108",793,G.I. Generation
7.88,Albania1997,0.645,"2,359,903,108",793,Boomers
7.14,Albania1997,0.645,"2,359,903,108",793,Generation X
6.66,Albania1997,0.645,"2,359,903,108",793,Silent
5.84,Albania1997,0.645,"2,359,903,108",793,Generation X
4.75,Albania1997,0.645,"2,359,903,108",793,G.I. Generation
1.89,Albania1997,0.645,"2,359,903,108",793,Boomers
1.66,Albania1997,0.645,"2,359,903,108",793,Millenials
1.05,Albania1997,0.645,"2,359,903,108",793,Millenials
0.0,Albania1997,0.645,"2,359,903,108",793,Silent
11.63,Albania1998,0.655,"2,707,123,772",899,G.I. Generation
10.85,Albania1998,0.655,"2,707,123,772",899,Generation X
10.83,Albania1998,0.655,"2,707,123,772",899,Generation X
10.82,Albania1998,0.655,"2,707,123,772",899,Generation X
7.47,Albania1998,0.655,"2,707,123,772",899,Boomers
4.9,Albania1998,0.655,"2,707,123,772",899,Silent
3.63,Albania1998,0.655,"2,707,123,772",899,Generation X
3.19,Albania1998,0.655,"2,707,123,772",899,Silent
2.42,Albania1998,0.655,"2,707,123,772",899,Boomers
0.51,Albania1998,0.655,"2,707,123,772",899,Millenials
0.27,Albania1998,0.655,"2,707,123,772",899,Millenials
0.0,Albania1998,0.655,"2,707,123,772",899,G.I. Generation
11.58,Albania1999,0.665,"3,414,760,915",1127,G.I. Generation
9.58,Albania1999,0.665,"3,414,760,915",1127,Generation X
9.43,Albania1999,0.665,"3,414,760,915",1127,G.I. Generation
7.93,Albania1999,0.665,"3,414,760,915",1127,Boomers
7.84,Albania1999,0.665,"3,414,760,915",1127,Generation X
7.56,Albania1999,0.665,"3,414,760,915",1127,Silent
6.4,Albania1999,0.665,"3,414,760,915",1127,Generation X
4.7,Albania1999,0.665,"3,414,760,915",1127,Generation X
3.18,Albania1999,0.665,"3,414,760,915",1127,Silent
1.34,Albania1999,0.665,"3,414,760,915",1127,Boomers
0.27,Albania1999,0.665,"3,414,760,915",1127,Millenials
0.0,Albania1999,0.665,"3,414,760,915",1127,Millenials
7.33,Albania2000,0.6559999999999999,"3,632,043,908",1299,Generation X
5.64,Albania2000,0.6559999999999999,"3,632,043,908",1299,Silent
5.29,Albania2000,0.6559999999999999,"3,632,043,908",1299,G.I. Generation
4.02,Albania2000,0.6559999999999999,"3,632,043,908",1299,G.I. Generation
2.27,Albania2000,0.6559999999999999,"3,632,043,908",1299,Generation X
2.08,Albania2000,0.6559999999999999,"3,632,043,908",1299,Generation X
1.51,Albania2000,0.6559999999999999,"3,632,043,908",1299,Boomers
1.22,Albania2000,0.6559999999999999,"3,632,043,908",1299,Generation X
1.07,Albania2000,0.6559999999999999,"3,632,043,908",1299,Boomers
0.27,Albania2000,0.6559999999999999,"3,632,043,908",1299,Millenials
0.0,Albania2000,0.6559999999999999,"3,632,043,908",1299,Millenials
0.0,Albania2000,0.6559999999999999,"3,632,043,908",1299,Silent
10.65,Albania2001,0.6779999999999999,"4,060,758,804",1451,Generation X
8.98,Albania2001,0.6779999999999999,"4,060,758,804",1451,Boomers
5.59,Albania2001,0.6779999999999999,"4,060,758,804",1451,Silent
4.23,Albania2001,0.6779999999999999,"4,060,758,804",1451,Silent
3.91,Albania2001,0.6779999999999999,"4,060,758,804",1451,Millenials
3.32,Albania2001,0.6779999999999999,"4,060,758,804",1451,Millenials
3.24,Albania2001,0.6779999999999999,"4,060,758,804",1451,Boomers
